160	Niger	          80,000
161	Turkmenistan	          75,000
162	Cambodia	          74,000
163	Lesotho	          73,300
164	Maldives	          71,700
165	Saint Vincent and the Grenadines	          66,000
166	Antigua and Barbuda	          65,000
167	Burundi	          65,000
168	Andorra	          59,100
169	Bermuda	          51,000
170	Suriname	          50,000
171	Swaziland	          48,200
172	Guernsey	          46,100
173	Mauritania	          45,000
174	Bhutan	          40,000
175	Faroe Islands	          37,500
176	Guinea-Bissau	          37,100
177	Greenland	          36,000
178	Belize	          34,000
179	Seychelles	          32,000
180	Virgin Islands	          30,000
181	Jersey	          29,000
182	Dominica	          27,500
183	Sao Tome and Principe	          24,800
184	Aruba	          24,000
185	Grenada	          24,000
186	Cayman Islands	          23,000
187	Liechtenstein	          23,000
188	Comoros	          23,000
189	Monaco	          22,000
190	Liberia	          20,000
191	Central African Republic	          19,000
192	San Marino	          17,000
193	Vanuatu	          17,000
194	Micronesia, Federated States of	          16,000
195	Saint Kitts and Nevis	          16,000
196	Sierra Leone	          13,900
197	Djibouti	          13,000
198	Equatorial Guinea	          12,000
199	Solomon Islands	          10,000
200	Samoa	           9,000
201	Tonga	           8,400
202	Gibraltar	           6,500
203	Cook Islands	           5,000
204	Anguilla	           4,500
205	Tuvalu	           4,200
206	British Virgin Islands	           4,000
207	Falkland Islands (Islas Malvinas)	           2,800
208	Marshall Islands	           2,200
209	Kiribati	           2,000
210	Timor-Leste	           1,800
211	Montserrat	           1,200
212	Wallis and Futuna	           1,200
213	Saint Helena, Ascension, and Tristan da Cunha	           1,100
214	Niue	           1,000
215	Tokelau	            800
216	Christmas Island	            464
