Period Ending,Country,Country Code,Product,Court Orders,"Executive, Police, etc.",Items Requested To Be Removed
06/30/2011,Germany,DE,Web Search,53,9,1672
06/30/2011,Germany,DE,Blogger,6,0,8
06/30/2011,Germany,DE,"Google Earth, Google Maps, and Panoramio",1,0,1
06/30/2011,Germany,DE,Gmail,1,0,1
06/30/2011,Germany,DE,YouTube,14,38,583
06/30/2011,Germany,DE,Google Images,1,1,25
06/30/2011,Spain,ES,Google AdWords,0,1,8
06/30/2011,Spain,ES,Blogger,3,5,11
06/30/2011,Spain,ES,Picasa Web Albums,0,1,1
06/30/2011,Spain,ES,Gmail,0,1,1
06/30/2011,Spain,ES,YouTube,1,1,3
06/30/2011,France,FR,Web Search,4,0,54
06/30/2011,France,FR,Blogger,2,0,12
06/30/2011,France,FR,Google Groups,1,0,180
06/30/2011,France,FR,YouTube,0,1,2
06/30/2011,France,FR,"Google Earth, Google Maps, and Panoramio",1,0,2
06/30/2011,United Kingdom,GB,Web Search,7,0,43
06/30/2011,United Kingdom,GB,Blogger,2,0,2
06/30/2011,United Kingdom,GB,"Google Earth, Google Maps, and Panoramio",0,1,1
06/30/2011,United Kingdom,GB,YouTube,1,52,220
06/30/2011,United Kingdom,GB,Google Images,2,0,67
06/30/2011,India,IN,Web Search,0,5,5
06/30/2011,India,IN,Blogger,3,14,39
06/30/2011,India,IN,Picasa Web Albums,0,1,1
06/30/2011,India,IN,orkut,0,25,264
06/30/2011,India,IN,"Google Earth, Google Maps, and Panoramio",0,1,1
06/30/2011,India,IN,YouTube,0,19,48
06/30/2011,Italy,IT,Web Search,4,0,4
06/30/2011,Italy,IT,Blogger,11,1,33
06/30/2011,Italy,IT,Web Search: Autocomplete,1,0,1
06/30/2011,Italy,IT,YouTube,9,10,42
06/30/2011,South Korea,KR,Google AdWords,0,3,443
06/30/2011,South Korea,KR,Web Search,0,23,129
06/30/2011,South Korea,KR,Blogger,0,14,17
06/30/2011,South Korea,KR,Google App Engine,0,1,1
06/30/2011,South Korea,KR,orkut,0,1,2
06/30/2011,South Korea,KR,Google Profiles,0,2,2
06/30/2011,South Korea,KR,YouTube,0,44,52
06/30/2011,Netherlands,NL,Blogger,2,0,14
06/30/2011,Netherlands,NL,YouTube,0,2,2
06/30/2011,Norway,NO,Google AdWords,0,2,1814
06/30/2011,Poland,PL,Web Search,0,1,70
06/30/2011,Poland,PL,Blogger,1,0,1
06/30/2011,Poland,PL,YouTube,0,1,1
06/30/2011,Thailand,TH,YouTube,0,2,225
06/30/2011,Turkey,TR,Google AdWords,0,1,1
06/30/2011,Turkey,TR,Web Search,5,5,102
06/30/2011,Turkey,TR,Blogger,4,2,16
06/30/2011,Turkey,TR,"Google Earth, Google Maps, and Panoramio",1,0,1
06/30/2011,Turkey,TR,YouTube,2,19,149
06/30/2011,Taiwan,TW,Google AdWords,1,8,55
06/30/2011,Taiwan,TW,Google Sites,0,1,1
06/30/2011,Taiwan,TW,Blogger,0,5,5
06/30/2011,Taiwan,TW,Gmail,4,44,48
06/30/2011,Taiwan,TW,YouTube,0,6,6
06/30/2011,United States,US,Google AdWords,0,1,7
06/30/2011,United States,US,Web Search,24,3,198
06/30/2011,United States,US,Google Books,1,0,1
06/30/2011,United States,US,Blogger,16,2,47
06/30/2011,United States,US,Google Groups,5,0,379
06/30/2011,United States,US,Picasa Web Albums,0,2,5
06/30/2011,United States,US,Gmail,1,1,2
06/30/2011,United States,US,YouTube,6,26,113
06/30/2011,United States,US,"Google Earth, Google Maps, and Panoramio",1,2,3
06/30/2011,United States,US,Google Images,1,0,2
