country_code,country,political_score,political_description,social_score,social_description,tools_score,tools_description,conflict/security_score,conflict_security_description,transparency,consistency,testing_date,url
HR,Croatia,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/europe
HU,Hungary,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/europe
ID,Indonesia,2,selective,3,substantial,2,selective,0,no evidence,High ,Low,2011,http://opennet.net/research/regions/asia
IL,Israel,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/profiles/israel
IN,India,2,selective,2,selective,2,selective,2,selective,Medium,High,2011,http://opennet.net/research/profiles/india
IQ,Iraq,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/profiles/iraq
IR,Iran,4,pervasive,4,pervasive,4,pervasive,3,substantial,Medium,High,2011,http://opennet.net/research/profiles/iran
IT,Italy,0,no evidence,2,selective,0,no evidence,0,no evidence,High,Low,2009,http://opennet.net/research/profiles/italy
JO,Jordan,2,selective,0,no evidence,0,no evidence,0,no evidence,Medium,Low,2009,http://opennet.net/research/profiles/jordan
KG,Kyrgyzstan,2,selective,2,selective,0,no evidence,0,no evidence,Low,Low,2009,http://opennet.net/research/profiles/kyrgyzstan
KR,South Korea,0,no evidence,2,selective,0,no evidence,4,pervasive,High,High,2011,http://opennet.net/research/profiles/south-korea
KW,Kuwait,2,selective,4,pervasive,4,pervasive,2,selective,Medium,Medium,2009,http://opennet.net/research/profiles/kuwait
KZ,Kazakhstan,2,selective,2,selective,0,no evidence,0,no evidence,Low,Low,2009,http://opennet.net/research/profiles/kazakhstan
LA,Laos,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/asia
LB,Lebanon,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/profiles/lebanon
LK,Sri Lanka,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/asia
LV,Latvia,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/europe
LY,Libya,2,selective,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/profiles/libya
MA,Morocco,0,no evidence,2,selective,2,selective,2,selective,Low,Medium,2009,http://opennet.net/research/profiles/morocco
MD,Moldova,2,selective,0,no evidence,0,no evidence,0,no evidence,Low,Low,2009,http://opennet.net/research/profiles/moldova
MM,Burma (Myanmar),4,pervasive,3,substantial,3,substantial,3,substantial,Medium,Medium,2011,http://opennet.net/research/profiles/burma
MR,Mauritania,2,selective,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/mena
MX,Mexico,0,no evidence,0,no evidence,0,no evidence,2,selective,n/a,n/a,2011,http://opennet.net/research/regions/la
MY,Malaysia,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2011,http://opennet.net/research/profiles/malaysia
NG,Nigeria,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/profiles/nigeria
NO,Norway,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/europe
NP,Nepal,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2007,http://opennet.net/research/profiles/nepal
OM,Oman,2,selective,4,pervasive,3,substantial,0,no evidence,Medium,High,2009,http://opennet.net/research/profiles/oman
PE,Peru,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2011,http://opennet.net/research/regions/la
PH,Philippines,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/asia
PK,Pakistan,2,selective,2,selective,2,selective,3,substantial,Medium,Low,2011,http://opennet.net/research/profiles/pakistan
PS,Gaza and the West Bank,0,no evidence,3,substantial,0,no evidence,0,no evidence,Low,Medium,2009,http://opennet.net/research/profiles/gazawestbank
QA,Qatar,2,selective,4,pervasive,4,pervasive,2,selective,Medium,Medium,2009,http://opennet.net/research/profiles/qatar
RO,Romania,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/europe
RU,Russia,2,selective,2,selective,0,no evidence,0,no evidence,Low,Low,2010,http://opennet.net/research/profiles/russia
SA,Saudi Arabia,3,substantial,4,pervasive,4,pervasive,2,selective,High,High,2009,http://opennet.net/research/profiles/saudi-arabia
SD,Sudan,2,selective,3,substantial,3,substantial,0,no evidence,High,Medium,2009,http://opennet.net/research/profiles/sudan
SE,Sweden,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/europe
SG,Singapore,0,no evidence,2,selective,0,no evidence,0,no evidence,High,High,2007,http://opennet.net/research/profiles/singapore
SY,Syria,4,pervasive,2,selective,4,pervasive,2,selective,Low,High,2009,http://opennet.net/research/profiles/syria
TH,Thailand,2,selective,2,selective,2,selective,0,no evidence,Medium,Medium,2011,http://opennet.net/research/profiles/thailand
TJ,Tajikistan,2,selective,0,no evidence,0,no evidence,0,no evidence,Low,Low,2008,http://opennet.net/research/profiles/tajikistan
TM,Turkmenistan,4,pervasive,2,selective,2,selective,2,selective,Low,High,2008,http://opennet.net/research/profiles/turkmenistan
TN,Tunisia,0,no evidence,2,selective,2,selective,0,no evidence,Low,High,2011,http://opennet.net/research/profiles/tunisia
TR,Turkey,2,selective,2,selective,2,selective,0,no evidence,Medium,Low,2010,http://opennet.net/research/profiles/turkey
UA,Ukraine,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2008,http://opennet.net/research/profiles/ukraine
UG,Uganda,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/profiles/uganda
US,United States,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2009,http://opennet.net/research/regions/namerica
UZ,Uzbekistan,4,pervasive,2,selective,2,selective,2,selective,Low,High,2008,http://opennet.net/research/profiles/uzbekistan
VE,Venezuela,0,no evidence,2,selective,0,no evidence,0,no evidence,n/a,n/a,2011,http://opennet.net/research/profiles/venezuela
VN,Vietnam,4,pervasive,2,selective,3,substantial,2,selective,Low,Low,2011,http://opennet.net/research/profiles/vietnam
YE,Yemen,3,substantial,4,pervasive,4,pervasive,2,selective,Medium,High,2009,http://opennet.net/research/profiles/yemen
ZW,Zimbabwe,0,no evidence,0,no evidence,0,no evidence,0,no evidence,n/a,n/a,2008,http://opennet.net/research/profiles/zimbabwe
